Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10,1.5456766,-1.0199999995529652,2.0,0.20510828,-1.0199999809265137
20,1.587119,None,None,0.16902399,None
30,1.6094329,-1.2899999935179949,24.0,0.1811054,None
40,1.49786,0.9800000004470348,2.0,0.18295474,-0.1549999639391899
50,1.6094313,0.8600000031292439,12.0,0.22921202,None
60,1.6094321,None,None,0.19868481,0.8599999845027924
70,1.5424894,None,None,0.17382449,None
80,1.5201737,None,None,0.17172864,None
90,1.5688599,-0.4533333306511243,9.666666666666666,0.20204493,-0.17999998480081558
100,1.5536435,-0.05999999865889549,5.5,0.1820304,-1.0399999842047691
110,1.5598444,0.9900000002235174,1.0,0.19648689,0.9749999940395355
120,1.6094306,None,None,0.1749483,None
130,1.5282882,0.8100000042468309,16.0,0.16609803,0.8099999874830246
140,1.4532297,-1.1399999968707561,12.0,0.18982461,None
150,1.5137979,0.9800000004470348,2.0,0.19437082,0.273333340883255
160,1.5201781,None,None,0.21400946,None
170,1.5201766,None,None,0.19425163,None
180,1.5871174,None,None,0.18603271,None
190,1.5201764,None,None,0.2026721,None
200,1.447144,-0.23499999474734068,19.0,0.20711617,-0.23499997705221176
210,1.5579355,-0.04499999899417162,4.0,0.20926483,-0.04499997943639755
220,1.5201755,0.9200000017881393,7.0,0.163405,0.9200000315904617
230,1.5871156,None,None,0.15978096,None
240,1.6094322,None,None,0.17231873,None
250,1.4978613,-1.1499999966472387,12.5,0.18362516,-1.1499999687075615
260,1.5164579,-1.049999998882413,4.0,0.20747061,-1.0499999970197678
270,1.4755442,None,None,0.23032442,None
280,1.4532322,None,None,0.21256587,None
290,1.4309193,None,None,0.21323651,None
300,1.5201771,None,None,0.22325227,None
310,1.5536487,-1.5699999872595072,46.0,0.21322563,None
320,1.5282905,None,None,0.19542795,-1.569999948143959
330,1.520177,-1.1299999970942736,11.0,0.1607612,-1.129999965429306
340,1.5871184,None,None,0.20554477,None
350,1.5350542,0.8500000033527613,12.0,0.18686981,0.8500000089406967
360,1.5648047,None,None,0.19598083,None
370,1.5648061,None,None,0.20070145,None
380,1.5424914,None,None,0.19670227,None
390,1.5908389,-1.4499999899417162,36.0,0.19079888,-1.4499999731779099
400,1.587117,None,None,0.16449404,None
410,1.6094303,None,None,0.1762194,None
420,1.5871193,None,None,0.16554347,None
430,1.5201751,None,None,0.17741033,None
440,1.6094316,None,None,0.16885555,None
450,1.5722414,-0.3199999928474426,26.0,0.18261032,-1.5999999642372131
460,1.4606705,0.9900000002235174,1.0,0.17156771,0.9749999940395355
