Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
12000,1.4189384,1.2381323290706145,22.381322957198442,0.1015394,1.238401526596114
24000,1.4109308,1.3014028399047965,23.014028056112224,0.034041625,1.3020039698881711
36000,1.39652,1.6686636342362324,26.68663594470046,0.10222693,1.6654377236344298
48000,1.3808922,2.3468391303315586,33.4683908045977,0.3084914,2.343678100013185
60000,1.3625355,4.349090988798575,53.49090909090909,0.54558086,4.346364013173363
72000,1.348162,7.6405798388995985,86.40579710144928,0.892872,7.571740157362344
84000,1.3319383,16.08142882596169,170.81428571428572,1.2506702,16.048573856694357
96000,1.3254539,48.29200073212385,491.16,1.886244,44.996007709503175
108000,1.3148067,85.35000127607158,855.6428571428571,2.3770716,85.21429899760655
120000,1.3063192,83.65333458383878,838.4666666666667,2.8096473,83.65334609349568
132000,1.2974768,91.03077058952589,911.0,3.378491,91.03078317642212
144000,1.292633,100.00000149011612,999.0,3.9627383,100.00001525878906
156000,1.289899,84.92857269729886,850.6428571428571,4.1736836,85.99287021160126
168000,1.2901584,98.39166813405852,983.8333333333334,4.907105,97.15001487731934
180000,1.2883478,100.00000149011612,999.0,5.3212557,100.00001525878906
192000,1.2837906,92.4384629170482,924.2307692307693,5.487023,92.43847560882568
204000,1.2825985,94.21538602044949,942.0,6.216752,94.21539893517128
216000,1.2797372,100.00000149011612,999.0,6.5879993,100.00001525878906
