Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
1000,1.3862885,0.02290778,-1525.0,992.0
2000,1.3862904,-0.0021982566,-1997.0,992.0
3000,1.3708566,-0.27837312,-1705.0,992.0
4000,1.354201,-0.46085495,-1008.0,992.0
5000,1.3741328,-0.3482074,-1983.0,992.0
6000,1.318672,-0.44065332,-1538.0,992.0
7000,1.090783,-0.77991486,830.0,992.0
8000,1.2494233,-0.88386714,-887.0,992.0
9000,1.22132,-1.0953692,-928.0,992.0
10000,0.8489699,0.19165552,1995.0,992.0
11000,1.0389667,-0.6699717,481.0,992.0
12000,1.2384918,-1.9303126,-1061.0,992.0
13000,1.1159735,-1.519318,-543.0,992.0
14000,1.1941694,-2.9317553,-714.0,992.0
15000,1.0598233,-2.0192094,-223.0,992.0
16000,1.1192875,-3.4736671,-409.0,992.0
17000,1.0070237,-1.1901125,364.0,992.0
18000,1.0251213,-3.0448945,10.0,992.0
19000,1.1164203,-3.0399747,-357.0,992.0
20000,1.0765258,-3.2917266,103.0,992.0
21000,0.93950707,-0.80705696,933.0,992.0
22000,0.99675214,-3.1473799,32.0,992.0
23000,1.0676955,-2.647553,-201.0,992.0
24000,0.9583722,-2.23803,516.0,992.0
25000,0.9615016,-1.7109231,358.0,992.0
26000,1.0859646,-2.6191146,-318.0,992.0
27000,1.0548024,-2.87597,10.0,992.0
28000,1.0748167,-3.1507473,-300.0,992.0
29000,1.0545833,-2.7715354,-134.0,992.0
30000,1.0434307,-2.8559165,-224.0,992.0
31000,0.98381597,-2.176021,-89.0,992.0
32000,0.9754597,-1.5596445,-1.0,992.0
33000,0.95226794,-0.39904603,284.0,992.0
34000,0.94985044,-0.35698074,578.0,992.0
35000,0.87608385,0.38148507,367.0,992.0
36000,0.875736,-1.8980893,-117.0,992.0
37000,0.81805485,-1.6871912,-87.0,992.0
38000,0.81771576,-1.3654821,-38.0,992.0
39000,0.7849804,-1.2374268,-77.0,992.0
40000,0.7924412,-1.1708347,-35.0,992.0
41000,0.76039207,-1.0277505,-46.0,992.0
42000,0.83887917,0.2822615,458.0,992.0
43000,0.803777,-0.19486356,142.0,992.0
44000,0.8079442,1.2866149,1158.0,992.0
45000,0.76805335,0.009440601,10.0,992.0
46000,0.68196887,-0.6608652,45.0,992.0
47000,0.6982902,-0.6266642,-31.0,992.0
48000,0.70069635,-0.34536093,139.0,992.0
49000,0.71913695,0.6526408,661.0,992.0
50000,0.6357587,0.09249969,341.0,992.0
51000,0.6427782,-0.6814995,7.0,992.0
52000,0.6076363,-0.6060767,-47.0,992.0
53000,0.5879851,-0.5661354,9.0,992.0
54000,0.47012612,-0.57788694,26.0,992.0
55000,0.6713529,2.991539,1055.0,992.0
56000,0.54083365,2.6813877,763.0,992.0
57000,0.41798782,-0.3660812,17.0,992.0
58000,0.46153527,1.2299131,234.0,992.0
59000,0.4746015,2.5433383,1151.0,992.0
60000,0.33853918,-0.3143764,54.0,992.0
61000,0.4016694,-0.42889363,-26.0,992.0
62000,0.38691083,-0.23806003,237.0,992.0
63000,0.4167877,-0.34405437,-27.0,992.0
64000,0.3496198,-0.38126266,22.0,992.0
65000,0.35248873,-0.3009324,-27.0,992.0
66000,0.34500238,-0.2723822,-24.0,992.0
67000,0.28758356,-0.22344197,34.0,992.0
68000,0.25925007,-0.09487713,239.0,992.0
69000,0.2627555,0.2684315,431.0,992.0
70000,0.27477574,0.29230928,-20.0,992.0
71000,0.30022115,-0.14057341,-20.0,992.0
72000,0.30066106,-0.11324103,-20.0,992.0
73000,0.25968128,0.07228867,240.0,992.0
74000,0.27000123,-0.057683792,-21.0,992.0
75000,0.23378599,0.005109951,-25.0,992.0
76000,0.26798663,-0.075804844,-19.0,992.0
77000,0.25584444,-0.05409983,-21.0,992.0
78000,0.23240727,-0.060141988,-19.0,992.0
79000,0.23065658,-0.052176856,-19.0,992.0
80000,0.20869206,-0.04168591,39.0,992.0
81000,0.20297116,-0.03848137,-19.0,992.0
82000,0.14667392,0.44597727,222.0,992.0
83000,0.18588112,-0.023756165,-18.0,992.0
84000,0.1895062,0.004821863,-18.0,992.0
