Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length
2000,0.01372835,0.69314694,-734.0,1996.0
3000,0.0072780177,0.69314593,None,None
4000,-0.029023174,0.6931437,-860.0,1996.0
5000,-0.022615371,0.6931459,None,None
6000,-0.124356985,0.693144,-1568.0,1996.0
7000,-0.109393075,0.69313586,None,None
8000,-0.19514391,0.69313264,-1502.0,1996.0
9000,-0.2943238,0.69313776,None,None
10000,-0.22140466,0.6931405,-1200.0,1996.0
11000,-0.3792178,0.69314295,None,None
12000,-0.5343669,0.6931436,-1968.0,1996.0
13000,-0.4625548,0.69314206,None,None
14000,-0.8360033,0.6931438,-1336.0,1996.0
15000,-0.8611208,0.6931442,None,None
16000,-1.0015485,0.69312423,-1902.0,1996.0
17000,-0.8161857,0.6931309,None,None
18000,-0.8927881,0.693003,-1402.0,1996.0
19000,-1.0912226,0.6931094,None,None
20000,-1.3849436,0.69312614,-1836.0,1996.0
21000,-1.2948993,0.69308674,None,None
22000,-1.0263042,0.6930541,-1434.0,1996.0
23000,-1.0823009,0.6929543,None,None
24000,-1.7187436,0.69290364,-1170.0,1996.0
25000,-1.1924868,0.6930889,None,None
26000,-1.8781605,0.69294006,-1836.0,1996.0
27000,-1.7858583,0.6927316,None,None
28000,-1.5120454,0.69272393,-1434.0,1996.0
29000,-1.3397646,0.69296086,None,None
30000,-1.4236755,0.6929056,-1268.0,1996.0
31000,-1.6041056,0.69309753,None,None
32000,-1.9136825,0.69309384,-1166.0,1996.0
33000,-2.0484083,0.69309723,None,None
34000,-1.7094877,0.69310296,-1634.0,1996.0
35000,-2.0932262,0.69308466,None,None
36000,-1.9976034,0.6931083,-1702.0,1996.0
37000,-2.4891107,0.6931312,None,None
38000,-2.7449856,0.6930855,-1934.0,1996.0
39000,-3.4107933,0.6931101,None,None
40000,-2.3468807,0.69304204,-1132.0,1996.0
41000,-2.8688056,0.69314075,None,None
42000,-2.7935677,0.6931259,-1502.0,1996.0
43000,-2.8679376,0.6927353,None,None
44000,-4.3074923,0.69300514,-1268.0,1996.0
45000,-2.714231,0.69296277,None,None
46000,-2.6034362,0.69313437,-768.0,1996.0
47000,-2.6946502,0.69313455,None,None
48000,-2.1834521,0.6931147,-736.0,1996.0
49000,-3.4234905,0.6931205,None,None
50000,-3.649932,0.6931254,-1968.0,1996.0
51000,-3.5184166,0.6927808,None,None
52000,-2.7837925,0.6927516,-1470.0,1996.0
53000,-2.9700313,0.69294566,None,None
54000,-3.1613095,0.6930058,-1734.0,1996.0
55000,-3.288492,0.6929621,None,None
56000,-3.4388566,0.69304496,-1600.0,1996.0
57000,-3.3648715,0.69304883,None,None
58000,-3.0985255,0.6930113,-1636.0,1996.0
59000,-3.7537482,0.6925725,None,None
60000,-4.509741,0.69258237,-868.0,1996.0
61000,-3.7293434,0.69306904,None,None
62000,-4.455177,0.6930263,-1966.0,1996.0
63000,-4.012522,0.6928687,None,None
64000,-4.057382,0.6927548,-1166.0,1996.0
65000,-3.8346474,0.6927804,None,None
66000,-4.273807,0.6929087,-1270.0,1996.0
67000,-3.263823,0.6929061,None,None
68000,-4.6513643,0.6930764,-1600.0,1996.0
69000,-4.1066146,0.6927782,None,None
70000,-4.980484,0.6930517,-1568.0,1996.0
71000,-5.17824,0.692861,None,None
72000,-5.3866663,0.6930682,-1768.0,1996.0
73000,-4.3280354,0.69205636,None,None
74000,-6.2750206,0.692489,-1134.0,1996.0
75000,-5.3560395,0.6926307,None,None
76000,-6.0131927,0.69255817,-1766.0,1996.0
77000,-4.6169786,0.6921272,None,None
78000,-5.585542,0.6924896,-1800.0,1996.0
79000,-5.2357464,0.68754935,None,None
80000,-5.829687,0.69271207,-1734.0,1996.0
81000,-5.306306,0.68798274,None,None
82000,-6.779271,0.6889178,-1032.0,1996.0
83000,-5.293059,0.6892247,None,None
84000,-5.5019846,0.68987226,-1036.0,1996.0
85000,-6.712863,0.69173914,None,None
86000,-5.590208,0.6927993,-1734.0,1996.0
87000,-5.6799765,0.6920902,None,None
88000,-6.269232,0.69189876,-1868.0,1996.0
89000,-5.8631706,0.6906502,None,None
90000,-6.559333,0.6844553,-1468.0,1996.0
91000,-7.50257,0.6902608,None,None
92000,-7.036296,0.688229,-1968.0,1996.0
93000,-7.0649357,0.6890573,None,None
94000,-5.705374,0.6855496,-1336.0,1996.0
95000,-6.653977,0.6905543,None,None
96000,-6.9750113,0.69224906,-1870.0,1996.0
97000,-6.975363,0.68983865,None,None
98000,-6.891553,0.69212556,-1798.0,1996.0
99000,-7.140906,0.6848015,None,None
100000,-7.712348,0.6921717,-1832.0,1996.0
101000,-7.5584073,0.68143827,None,None
102000,-7.655878,0.69182485,-1934.0,1996.0
103000,-5.966714,0.66573507,None,None
104000,-8.6031,0.67844117,-1136.0,1996.0
