Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length
10000,-2.9518309,1.3255405,-3428.0,9921.0
11000,4.2390857,0.97609746,None,None
12000,0.53574795,1.1605216,None,None
13000,-3.2883663,1.1986836,None,None
14000,-2.678967,1.1522008,None,None
15000,-2.7604444,1.1642387,None,None
16000,-2.292456,0.9316651,None,None
17000,-2.2129002,0.9316652,None,None
18000,-1.8211832,0.7916349,None,None
19000,-1.5861529,0.7449582,None,None
20000,-1.3275409,0.7238817,536.0,9921.0
21000,3.2183394,0.7525398,None,None
22000,1.9100018,0.81907976,None,None
23000,-1.604672,0.7318923,None,None
24000,-1.3206105,0.65344346,None,None
25000,-0.9416938,0.60078716,None,None
26000,-1.0140789,0.5968655,None,None
27000,-0.67680526,0.63751256,None,None
28000,-0.7384062,0.6346661,None,None
29000,-0.39800406,0.6788424,None,None
30000,-0.3663202,0.6829578,340.0,9921.0
31000,0.21709462,0.73688895,None,None
32000,-0.20070308,0.70191294,None,None
33000,-0.16173646,0.69979477,None,None
34000,-0.12698404,0.6984517,None,None
35000,-0.0972994,0.69294935,None,None
36000,-0.030184789,0.6886912,None,None
37000,0.15483098,0.666744,None,None
38000,0.07574223,0.6320894,None,None
39000,-0.004771531,0.6097493,None,None
40000,-0.031913236,0.5368211,101.0,9921.0
41000,3.2256303,0.6573529,None,None
42000,1.3353509,0.7303177,None,None
43000,-0.09399551,0.58435977,None,None
44000,-0.24502738,0.6159955,None,None
45000,-0.24959573,0.6173023,None,None
46000,-0.27392,0.5674571,None,None
47000,-0.24618348,0.5517415,None,None
48000,0.2109286,0.60136545,None,None
49000,0.53084874,0.6293326,None,None
50000,0.14827564,0.4677846,1457.0,9921.0
51000,-0.0111659765,0.4559932,None,None
52000,-0.14750369,0.4430977,None,None
53000,-0.11416732,0.43285435,None,None
54000,-0.13300157,0.44477546,None,None
55000,-0.1407007,0.47472075,None,None
56000,-0.14066818,0.473487,None,None
57000,-0.086781636,0.5505142,None,None
58000,-0.07686368,0.5490909,None,None
59000,-0.049637444,0.48719686,None,None
60000,-0.04456072,0.47389007,40.0,9921.0
61000,0.06053438,0.47927943,None,None
62000,-0.025688834,0.4827832,None,None
63000,-0.016458437,0.4667651,None,None
64000,-0.007965056,0.45796478,None,None
65000,-0.0072710924,0.4955813,None,None
66000,-0.0056963316,0.532962,None,None
67000,-0.0030563562,0.5138085,None,None
68000,-0.0028228948,0.46359462,None,None
69000,-0.0040917397,0.46991527,None,None
70000,-0.0009642743,0.5325993,41.0,9921.0
71000,0.009073939,0.53118837,None,None
72000,-0.07191771,0.49124965,None,None
73000,-0.07219939,0.48977172,None,None
