Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length
1000,1.3862913,-0.045160387,25.0,992.0
2000,1.3862869,-0.1099872,1514.0,992.0
3000,1.3814163,0.028024044,209.0,992.0
4000,1.3811781,0.056198575,-126.0,992.0
5000,1.3365809,0.4287268,1095.0,992.0
6000,1.3653207,0.06142069,-74.0,992.0
7000,1.3460412,0.29270616,450.0,992.0
8000,1.3612152,0.00090385973,-342.0,992.0
9000,1.3473718,-0.1795977,-196.0,992.0
10000,1.3651392,-0.12457005,-319.0,992.0
11000,1.3274641,-0.012488633,477.0,992.0
12000,1.3330034,-0.7975705,-444.0,992.0
13000,1.327475,-0.7217536,-122.0,992.0
14000,1.3659924,-1.6361189,-464.0,992.0
15000,1.3226562,-1.4778953,-288.0,992.0
16000,1.3241236,-2.3804078,-369.0,992.0
17000,1.364622,-2.6440897,-479.0,992.0
18000,1.2345219,-2.9340532,23.0,992.0
19000,1.3368924,-3.3653946,-200.0,992.0
20000,1.3233066,-3.8870165,-349.0,992.0
21000,1.3180859,-3.8746717,-319.0,992.0
22000,1.0389527,-3.7545786,-136.0,992.0
23000,1.0057085,-3.7826357,140.0,992.0
24000,0.8696163,-3.1140273,-11.0,992.0
25000,0.80135876,-2.3959737,2.0,992.0
26000,0.71709365,-2.0434568,217.0,992.0
27000,0.65806496,-1.6407886,226.0,992.0
28000,0.6410106,-1.4963555,30.0,992.0
29000,0.63050705,-1.0991943,35.0,992.0
30000,0.64512676,-1.0655961,236.0,992.0
31000,0.71181065,-0.7453393,32.0,992.0
32000,0.6990521,-0.73827165,30.0,992.0
33000,0.59169495,-0.49211168,38.0,992.0
34000,0.562299,-0.0482485,531.0,992.0
35000,0.51601803,-0.35703057,35.0,992.0
36000,0.51600826,-0.34709528,39.0,992.0
37000,0.56404066,-0.24644908,36.0,992.0
38000,0.58017594,-0.19521853,240.0,992.0
39000,0.50168526,-0.18202797,38.0,992.0
